dataset,strategy,model_name,accuracy,base,final_acc,checkpoint,num_successes_seen,average_reward,perc_learnable,abs_improv,model_size,relative_improvement,train_score
kegg,easiest,Qwen3-14B,0.5205479452054794,0.5176369863013698,0.4863013698630137,900,7157,0.9940277777777777,0.024444444444444446,0.0029109589041096395,14,0.00603478878239272,0.5
kegg,easiest,Qwen3-14B,0.4863013698630137,0.5176369863013698,0.4863013698630137,1000,7955,0.994375,0.024,-0.031335616438356084,14,-0.06496272630457917,0.5
kegg,hardest,Qwen3-14B,0.5136986301369864,0.5176369863013698,0.4931506849315068,100,792,0.99,0.06,-0.0039383561643834275,14,-0.008164714235001496,0.5
kegg,hardest,Qwen3-14B,0.5273972602739726,0.5176369863013698,0.4931506849315068,200,1585,0.990625,0.045,0.009760273972602818,14,0.020234291799787165,0.5
kegg,hardest,Qwen3-14B,0.4863013698630137,0.5176369863013698,0.4931506849315068,300,2380,0.9916666666666667,0.03666666666666667,-0.031335616438356084,14,-0.06496272630457917,0.5
kegg,hardest,Qwen3-14B,0.4726027397260274,0.5176369863013698,0.4931506849315068,400,3170,0.990625,0.04,-0.045034246575342385,14,-0.09336173233936794,0.5
kegg,hardest,Qwen3-14B,0.5136986301369864,0.5176369863013698,0.4931506849315068,500,3966,0.9915,0.04,-0.0039383561643834275,14,-0.008164714235001496,0.5
kegg,hardest,Qwen3-14B,0.4794520547945205,0.5176369863013698,0.4931506849315068,600,4763,0.9922916666666667,0.03833333333333333,-0.03818493150684926,14,-0.07916222932197362,0.5
kegg,hardest,Qwen3-14B,0.4726027397260274,0.5176369863013698,0.4931506849315068,700,4943,0.8826785714285714,0.04285714285714286,-0.045034246575342385,14,-0.09336173233936794,0.5
kegg,hardest,Qwen3-14B,0.5273972602739726,0.5176369863013698,0.4931506849315068,800,5099,0.79671875,0.04375,0.009760273972602818,14,0.020234291799787165,0.5
kegg,hardest,Qwen3-14B,0.4931506849315068,0.5176369863013698,0.4931506849315068,900,5303,0.7365277777777778,0.04555555555555556,-0.02448630136986296,14,-0.050763223287184835,0.5
kegg,hardest,Qwen3-14B,0.4931506849315068,0.5176369863013698,0.4931506849315068,1000,5454,0.68175,0.047,-0.02448630136986296,14,-0.050763223287184835,0.5
kegg,middle,Qwen3-14B,0.4863013698630137,0.5176369863013698,0.5068493150684932,100,716,0.895,0.25,-0.031335616438356084,14,-0.06496272630457917,0.5
kegg,middle,Qwen3-14B,0.5205479452054794,0.5176369863013698,0.5068493150684932,200,1450,0.90625,0.235,0.0029109589041096395,14,0.00603478878239272,0.5
kegg,middle,Qwen3-14B,0.5,0.5176369863013698,0.5068493150684932,300,2231,0.9295833333333333,0.19333333333333333,-0.017636986301369784,14,-0.036563720269790385,0.5
kegg,middle,Qwen3-14B,0.5205479452054794,0.5176369863013698,0.5068493150684932,400,3010,0.940625,0.1725,0.0029109589041096395,14,0.00603478878239272,0.5
kegg,middle,Qwen3-14B,0.4794520547945205,0.5176369863013698,0.5068493150684932,500,3803,0.95075,0.148,-0.03818493150684926,14,-0.07916222932197362,0.5
kegg,middle,Qwen3-14B,0.4863013698630137,0.5176369863013698,0.5068493150684932,600,4589,0.9560416666666667,0.13666666666666666,-0.031335616438356084,14,-0.06496272630457917,0.5
kegg,middle,Qwen3-14B,0.5205479452054794,0.5176369863013698,0.5068493150684932,700,5385,0.9616071428571429,0.12285714285714286,0.0029109589041096395,14,0.00603478878239272,0.5
kegg,middle,Qwen3-14B,0.5205479452054794,0.5176369863013698,0.5068493150684932,800,6180,0.965625,0.1125,0.0029109589041096395,14,0.00603478878239272,0.5
kegg,middle,Qwen3-14B,0.5205479452054794,0.5176369863013698,0.5068493150684932,900,6978,0.9691666666666666,0.10222222222222223,0.0029109589041096395,14,0.00603478878239272,0.5
kegg,middle,Qwen3-14B,0.5068493150684932,0.5176369863013698,0.5068493150684932,1000,7772,0.9715,0.096,-0.010787671232876606,14,-0.02236421725239594,0.5
kegg,random,Qwen3-14B,0.4931506849315068,0.5176369863013698,0.4931506849315068,100,460,0.575,0.14,-0.02448630136986296,14,-0.050763223287184835,0.5
kegg,random,Qwen3-14B,0.5,0.5176369863013698,0.4931506849315068,200,874,0.54625,0.145,-0.017636986301369784,14,-0.036563720269790385,0.5
kegg,random,Qwen3-14B,0.5342465753424658,0.5176369863013698,0.4931506849315068,300,1349,0.5620833333333334,0.15333333333333332,0.016609589041095996,14,0.03443379481718161,0.5
kegg,random,Qwen3-14B,0.5136986301369864,0.5176369863013698,0.4931506849315068,400,1839,0.5746875,0.1525,-0.0039383561643834275,14,-0.008164714235001496,0.5
kegg,random,Qwen3-14B,0.4863013698630137,0.5176369863013698,0.4931506849315068,500,2324,0.581,0.154,-0.031335616438356084,14,-0.06496272630457917,0.5
kegg,random,Qwen3-14B,0.5205479452054794,0.5176369863013698,0.4931506849315068,600,2788,0.5808333333333333,0.145,0.0029109589041096395,14,0.00603478878239272,0.5
kegg,random,Qwen3-14B,0.4794520547945205,0.5176369863013698,0.4931506849315068,700,3286,0.5867857142857142,0.14,-0.03818493150684926,14,-0.07916222932197362,0.5
kegg,random,Qwen3-14B,0.5205479452054794,0.5176369863013698,0.4931506849315068,800,3800,0.59375,0.14,0.0029109589041096395,14,0.00603478878239272,0.5
kegg,random,Qwen3-14B,0.4863013698630137,0.5176369863013698,0.4931506849315068,900,4314,0.5991666666666666,0.13555555555555557,-0.031335616438356084,14,-0.06496272630457917,0.5
kegg,random,Qwen3-14B,0.4931506849315068,0.5176369863013698,0.4931506849315068,1000,4828,0.6035,0.131,-0.02448630136986296,14,-0.050763223287184835,0.5
kegg,easiest,Qwen3-4B,0.4041095890410959,0.3904109589041096,0.4315068493150685,100,761,0.95125,0.09,0.0136986301369863,4,0.02247191011235955,0.5
kegg,easiest,Qwen3-4B,0.4246575342465753,0.3904109589041096,0.4315068493150685,200,1525,0.953125,0.09,0.034246575342465724,4,0.056179775280898826,0.5
kegg,easiest,Qwen3-4B,0.4383561643835616,0.3904109589041096,0.4315068493150685,300,2305,0.9604166666666667,0.08333333333333333,0.047945205479452024,4,0.07865168539325838,0.5
kegg,easiest,Qwen3-4B,0.4863013698630137,0.3904109589041096,0.4315068493150685,400,3101,0.9690625,0.0725,0.0958904109589041,4,0.15730337078651685,0.5
kegg,easiest,Qwen3-4B,0.4246575342465753,0.3904109589041096,0.4315068493150685,500,3899,0.97475,0.062,0.034246575342465724,4,0.056179775280898826,0.5
kegg,easiest,Qwen3-4B,0.410958904109589,0.3904109589041096,0.4315068493150685,600,4697,0.9785416666666666,0.055,0.020547945205479423,4,0.033707865168539276,0.5
kegg,easiest,Qwen3-4B,0.4041095890410959,0.3904109589041096,0.4315068493150685,700,5496,0.9814285714285714,0.04857142857142857,0.0136986301369863,4,0.02247191011235955,0.5
kegg,easiest,Qwen3-4B,0.410958904109589,0.3904109589041096,0.4315068493150685,800,6295,0.98359375,0.04375,0.020547945205479423,4,0.033707865168539276,0.5
kegg,easiest,Qwen3-4B,0.4178082191780822,0.3904109589041096,0.4315068493150685,900,7094,0.9852777777777778,0.04,0.0273972602739726,4,0.0449438202247191,0.5
